country_iso,date,holiday_reason
GB,1930-04-21,Easter Monday
GB,1930-05-05,Early May Bank Holiday
GB,1930-05-26,Spring Bank Holiday
GB,1930-08-25,Late Summer Bank Holiday
GB,1930-12-25,Christmas Day
GB,1930-12-26,Boxing Day
GB,1931-01-01,New year
GB,1931-04-03,Good Friday
GB,1931-04-05,Easter Sunday
GB,1931-04-06,Easter Monday
GB,1931-05-04,Early May Bank Holiday
GB,1931-05-25,Spring Bank Holiday
GB,1931-08-31,Late Summer Bank Holiday
GB,1931-12-25,Christmas Day
GB,1931-12-26,Boxing Day
GB,1931-12-28,Boxing Day Shift
GB,1932-01-01,New year
GB,1932-03-25,Good Friday
GB,1932-03-27,Easter Sunday
GB,1932-03-28,Easter Monday
GB,1932-05-02,Early May Bank Holiday
GB,1932-05-30,Spring Bank Holiday
GB,1932-08-29,Late Summer Bank Holiday
GB,1932-12-25,Christmas Day
GB,1932-12-26,Boxing Day
GB,1932-12-26,Christmas Shift
GB,1932-12-27,Boxing Day Shift
GB,1933-01-01,New year
GB,1933-01-02,New Year shift
GB,1933-04-14,Good Friday
GB,1933-04-16,Easter Sunday
GB,1933-04-17,Easter Monday
GB,1933-05-01,Early May Bank Holiday
GB,1933-05-29,Spring Bank Holiday
GB,1933-08-28,Late Summer Bank Holiday
GB,1933-12-25,Christmas Day
GB,1933-12-26,Boxing Day
GB,1934-01-01,New year
GB,1934-03-30,Good Friday
GB,1934-04-01,Easter Sunday
GB,1934-04-02,Easter Monday
GB,1934-05-07,Early May Bank Holiday
GB,1934-05-28,Spring Bank Holiday
GB,1934-08-27,Late Summer Bank Holiday
GB,1934-12-25,Christmas Day
GB,1934-12-26,Boxing Day
GB,1935-01-01,New year
GB,1935-04-19,Good Friday
GB,1935-04-21,Easter Sunday
GB,1935-04-22,Easter Monday
GB,1935-05-06,Early May Bank Holiday
GB,1935-05-27,Spring Bank Holiday
GB,1935-08-26,Late Summer Bank Holiday
GB,1935-12-25,Christmas Day
GB,1935-12-26,Boxing Day
GB,1936-01-01,New year
GB,1936-04-10,Good Friday
GB,1936-04-12,Easter Sunday
GB,1936-04-13,Easter Monday
GB,1936-05-04,Early May Bank Holiday
GB,1936-05-25,Spring Bank Holiday
GB,1936-08-31,Late Summer Bank Holiday
GB,1936-12-25,Christmas Day
GB,1936-12-26,Boxing Day
GB,1936-12-28,Boxing Day Shift
GB,1937-01-01,New year
GB,1937-03-26,Good Friday
GB,1937-03-28,Easter Sunday
GB,1937-03-29,Easter Monday
GB,1937-05-03,Early May Bank Holiday
GB,1937-05-31,Spring Bank Holiday
GB,1937-08-30,Late Summer Bank Holiday
GB,1937-12-25,Christmas Day
GB,1937-12-26,Boxing Day
GB,1937-12-27,Christmas Shift
GB,1937-12-28,Boxing Day Shift
GB,1938-01-01,New year
GB,1938-01-03,New Year shift
GB,1938-04-15,Good Friday
GB,1938-04-17,Easter Sunday
GB,1938-04-18,Easter Monday
GB,1938-05-02,Early May Bank Holiday
GB,1938-05-30,Spring Bank Holiday
GB,1938-08-29,Late Summer Bank Holiday
GB,1938-12-25,Christmas Day
GB,1938-12-26,Boxing Day
GB,1938-12-26,Christmas Shift
GB,1938-12-27,Boxing Day Shift
GB,1939-01-01,New year
GB,1939-01-02,New Year shift
GB,1939-04-07,Good Friday
GB,1939-04-09,Easter Sunday
GB,1939-04-10,Easter Monday
GB,1939-05-01,Early May Bank Holiday
GB,1939-05-29,Spring Bank Holiday
GB,1939-08-28,Late Summer Bank Holiday
GB,1939-12-25,Christmas Day
GB,1939-12-26,Boxing Day
GB,1940-01-01,New year
GB,1940-03-22,Good Friday
GB,1940-03-24,Easter Sunday
GB,1940-03-25,Easter Monday
GB,1940-05-06,Early May Bank Holiday
GB,1940-05-27,Spring Bank Holiday
GB,1940-08-26,Late Summer Bank Holiday
GB,1940-12-25,Christmas Day
GB,1940-12-26,Boxing Day
GB,1941-01-01,New year
GB,1941-04-11,Good Friday
GB,1941-04-13,Easter Sunday
GB,1941-04-14,Easter Monday
GB,1941-05-05,Early May Bank Holiday
GB,1941-05-26,Spring Bank Holiday
GB,1941-08-25,Late Summer Bank Holiday
GB,1941-12-25,Christmas Day
GB,1941-12-26,Boxing Day
GB,1942-01-01,New year
GB,1942-04-03,Good Friday
GB,1942-04-05,Easter Sunday
GB,1942-04-06,Easter Monday
GB,1942-05-04,Early May Bank Holiday
GB,1942-05-25,Spring Bank Holiday
GB,1942-08-31,Late Summer Bank Holiday
GB,1942-12-25,Christmas Day
GB,1942-12-26,Boxing Day
GB,1942-12-28,Boxing Day Shift
GB,1943-01-01,New year
GB,1943-04-23,Good Friday
GB,1943-04-25,Easter Sunday
GB,1943-04-26,Easter Monday
GB,1943-05-03,Early May Bank Holiday
GB,1943-05-31,Spring Bank Holiday
GB,1943-08-30,Late Summer Bank Holiday
GB,1943-12-25,Christmas Day
GB,1943-12-26,Boxing Day
GB,1943-12-27,Christmas Shift
GB,1943-12-28,Boxing Day Shift
GB,1944-01-01,New year
GB,1944-01-03,New Year shift
GB,1944-04-07,Good Friday
GB,1944-04-09,Easter Sunday
GB,1944-04-10,Easter Monday
GB,1944-05-01,Early May Bank Holiday
GB,1944-05-29,Spring Bank Holiday
GB,1944-08-28,Late Summer Bank Holiday
GB,1944-12-25,Christmas Day
GB,1944-12-26,Boxing Day
GB,1945-01-01,New year
GB,1945-03-30,Good Friday
GB,1945-04-01,Easter Sunday
GB,1945-04-02,Easter Monday
GB,1945-05-07,Early May Bank Holiday
GB,1945-05-28,Spring Bank Holiday
GB,1945-08-27,Late Summer Bank Holiday
GB,1945-12-25,Christmas Day
GB,1945-12-26,Boxing Day
GB,1946-01-01,New year
GB,1946-04-19,Good Friday
GB,1946-04-21,Easter Sunday
GB,1946-04-22,Easter Monday
GB,1946-05-06,Early May Bank Holiday
GB,1946-05-27,Spring Bank Holiday
GB,1946-08-26,Late Summer Bank Holiday
GB,1946-12-25,Christmas Day
GB,1946-12-26,Boxing Day
GB,1947-01-01,New year
GB,1947-04-04,Good Friday
GB,1947-04-06,Easter Sunday
GB,1947-04-07,Easter Monday
GB,1947-05-05,Early May Bank Holiday
GB,1947-05-26,Spring Bank Holiday
GB,1947-08-25,Late Summer Bank Holiday
GB,1947-12-25,Christmas Day
GB,1947-12-26,Boxing Day
GB,1948-01-01,New year
GB,1948-03-26,Good Friday
GB,1948-03-28,Easter Sunday
GB,1948-03-29,Easter Monday
GB,1948-05-03,Early May Bank Holiday
GB,1948-05-31,Spring Bank Holiday
GB,1948-08-30,Late Summer Bank Holiday
GB,1948-12-25,Christmas Day
GB,1948-12-26,Boxing Day
GB,1948-12-27,Christmas Shift
GB,1948-12-28,Boxing Day Shift
GB,1949-01-01,New year
GB,1949-01-03,New Year shift
GB,1949-04-15,Good Friday
GB,1949-04-17,Easter Sunday
GB,1949-04-18,Easter Monday
GB,1949-05-02,Early May Bank Holiday
GB,1949-05-30,Spring Bank Holiday
GB,1949-08-29,Late Summer Bank Holiday
GB,1949-12-25,Christmas Day
GB,1949-12-26,Boxing Day
GB,1949-12-26,Christmas Shift
GB,1949-12-27,Boxing Day Shift
GB,1950-01-01,New year
GB,1950-01-02,New Year shift
GB,1950-04-07,Good Friday
GB,1950-04-09,Easter Sunday
GB,1950-04-10,Easter Monday
GB,1950-05-01,Early May Bank Holiday
GB,1950-05-29,Spring Bank Holiday
GB,1950-08-28,Late Summer Bank Holiday
GB,1950-12-25,Christmas Day
GB,1950-12-26,Boxing Day
GB,1951-01-01,New year
GB,1951-03-23,Good Friday
GB,1951-03-25,Easter Sunday
GB,1951-03-26,Easter Monday
GB,1951-05-07,Early May Bank Holiday
GB,1951-05-28,Spring Bank Holiday
GB,1951-08-27,Late Summer Bank Holiday
GB,1951-12-25,Christmas Day
GB,1951-12-26,Boxing Day
GB,1952-01-01,New year
GB,1952-04-11,Good Friday
GB,1952-04-13,Easter Sunday
GB,1952-04-14,Easter Monday
GB,1952-05-05,Early May Bank Holiday
GB,1952-05-26,Spring Bank Holiday
GB,1952-08-25,Late Summer Bank Holiday
GB,1952-12-25,Christmas Day
GB,1952-12-26,Boxing Day
GB,1953-01-01,New year
GB,1953-04-03,Good Friday
GB,1953-04-05,Easter Sunday
GB,1953-04-06,Easter Monday
GB,1953-05-04,Early May Bank Holiday
GB,1953-05-25,Spring Bank Holiday
GB,1953-08-31,Late Summer Bank Holiday
GB,1953-12-25,Christmas Day
GB,1953-12-26,Boxing Day
GB,1953-12-28,Boxing Day Shift
GB,1954-01-01,New year
GB,1954-04-16,Good Friday
GB,1954-04-18,Easter Sunday
GB,1954-04-19,Easter Monday
GB,1954-05-03,Early May Bank Holiday
GB,1954-05-31,Spring Bank Holiday
GB,1954-08-30,Late Summer Bank Holiday
GB,1954-12-25,Christmas Day
GB,1954-12-26,Boxing Day
GB,1954-12-27,Christmas Shift
GB,1954-12-28,Boxing Day Shift
GB,1955-01-01,New year
GB,1955-01-03,New Year shift
GB,1955-04-08,Good Friday
GB,1955-04-10,Easter Sunday
GB,1955-04-11,Easter Monday
GB,1955-05-02,Early May Bank Holiday
GB,1955-05-30,Spring Bank Holiday
GB,1955-08-29,Late Summer Bank Holiday
GB,1955-12-25,Christmas Day
GB,1955-12-26,Boxing Day
GB,1955-12-26,Christmas Shift
GB,1955-12-27,Boxing Day Shift
GB,1956-01-01,New year
GB,1956-01-02,New Year shift
GB,1956-03-30,Good Friday
GB,1956-04-01,Easter Sunday
GB,1956-04-02,Easter Monday
GB,1956-05-07,Early May Bank Holiday
GB,1956-05-28,Spring Bank Holiday
GB,1956-08-27,Late Summer Bank Holiday
GB,1956-12-25,Christmas Day
GB,1956-12-26,Boxing Day
GB,1957-01-01,New year
GB,1957-04-19,Good Friday
GB,1957-04-21,Easter Sunday
GB,1957-04-22,Easter Monday
GB,1957-05-06,Early May Bank Holiday
GB,1957-05-27,Spring Bank Holiday
GB,1957-08-26,Late Summer Bank Holiday
GB,1957-12-25,Christmas Day
GB,1957-12-26,Boxing Day
GB,1958-01-01,New year
GB,1958-04-04,Good Friday
GB,1958-04-06,Easter Sunday
GB,1958-04-07,Easter Monday
GB,1958-05-05,Early May Bank Holiday
GB,1958-05-26,Spring Bank Holiday
GB,1958-08-25,Late Summer Bank Holiday
GB,1958-12-25,Christmas Day
GB,1958-12-26,Boxing Day
GB,1959-01-01,New year
GB,1959-03-27,Good Friday
GB,1959-03-29,Easter Sunday
GB,1959-03-30,Easter Monday
GB,1959-05-04,Early May Bank Holiday
GB,1959-05-25,Spring Bank Holiday
GB,1959-08-31,Late Summer Bank Holiday
GB,1959-12-25,Christmas Day
GB,1959-12-26,Boxing Day
GB,1959-12-28,Boxing Day Shift
GB,1960-01-01,New year
GB,1960-04-15,Good Friday
GB,1960-04-17,Easter Sunday
GB,1960-04-18,Easter Monday
GB,1960-05-02,Early May Bank Holiday
GB,1960-05-30,Spring Bank Holiday
GB,1960-08-29,Late Summer Bank Holiday
GB,1960-12-25,Christmas Day
GB,1960-12-26,Boxing Day
GB,1960-12-26,Christmas Shift
GB,1960-12-27,Boxing Day Shift
GB,1961-01-01,New year
GB,1961-01-02,New Year shift
GB,1961-03-31,Good Friday
GB,1961-04-02,Easter Sunday
GB,1961-04-03,Easter Monday
GB,1961-05-01,Early May Bank Holiday
GB,1961-05-29,Spring Bank Holiday
GB,1961-08-28,Late Summer Bank Holiday
GB,1961-12-25,Christmas Day
GB,1961-12-26,Boxing Day
GB,1962-01-01,New year
GB,1962-04-20,Good Friday
GB,1962-04-22,Easter Sunday
GB,1962-04-23,Easter Monday
GB,1962-05-07,Early May Bank Holiday
GB,1962-05-28,Spring Bank Holiday
GB,1962-08-27,Late Summer Bank Holiday
GB,1962-12-25,Christmas Day
GB,1962-12-26,Boxing Day
GB,1963-01-01,New year
GB,1963-04-12,Good Friday
GB,1963-04-14,Easter Sunday
GB,1963-04-15,Easter Monday
GB,1963-05-06,Early May Bank Holiday
GB,1963-05-27,Spring Bank Holiday
GB,1963-08-26,Late Summer Bank Holiday
GB,1963-12-25,Christmas Day
GB,1963-12-26,Boxing Day
GB,1964-01-01,New year
GB,1964-03-27,Good Friday
GB,1964-03-29,Easter Sunday
GB,1964-03-30,Easter Monday
GB,1964-05-04,Early May Bank Holiday
GB,1964-05-25,Spring Bank Holiday
GB,1964-08-31,Late Summer Bank Holiday
GB,1964-12-25,Christmas Day
GB,1964-12-26,Boxing Day
GB,1964-12-28,Boxing Day Shift
GB,1965-01-01,New year
GB,1965-04-16,Good Friday
GB,1965-04-18,Easter Sunday
GB,1965-04-19,Easter Monday
GB,1965-05-03,Early May Bank Holiday
GB,1965-05-31,Spring Bank Holiday
GB,1965-08-30,Late Summer Bank Holiday
GB,1965-12-25,Christmas Day
GB,1965-12-26,Boxing Day
GB,1965-12-27,Christmas Shift
GB,1965-12-28,Boxing Day Shift
GB,1966-01-01,New year
GB,1966-01-03,New Year shift
GB,1966-04-08,Good Friday
GB,1966-04-10,Easter Sunday
GB,1966-04-11,Easter Monday
GB,1966-05-02,Early May Bank Holiday
GB,1966-05-30,Spring Bank Holiday
GB,1966-08-29,Late Summer Bank Holiday
GB,1966-12-25,Christmas Day
GB,1966-12-26,Boxing Day
GB,1966-12-26,Christmas Shift
GB,1966-12-27,Boxing Day Shift
GB,1967-01-01,New year
GB,1967-01-02,New Year shift
GB,1967-03-24,Good Friday
GB,1967-03-26,Easter Sunday
GB,1967-03-27,Easter Monday
GB,1967-05-01,Early May Bank Holiday
GB,1967-05-29,Spring Bank Holiday
GB,1967-08-28,Late Summer Bank Holiday
GB,1967-12-25,Christmas Day
GB,1967-12-26,Boxing Day
GB,1968-01-01,New year
GB,1968-04-12,Good Friday
GB,1968-04-14,Easter Sunday
GB,1968-04-15,Easter Monday
GB,1968-05-06,Early May Bank Holiday
GB,1968-05-27,Spring Bank Holiday
GB,1968-08-26,Late Summer Bank Holiday
GB,1968-12-25,Christmas Day
GB,1968-12-26,Boxing Day
GB,1969-01-01,New year
GB,1969-04-04,Good Friday
GB,1969-04-06,Easter Sunday
GB,1969-04-07,Easter Monday
GB,1969-05-05,Early May Bank Holiday
GB,1969-05-26,Spring Bank Holiday
GB,1969-08-25,Late Summer Bank Holiday
GB,1969-12-25,Christmas Day
GB,1969-12-26,Boxing Day
GB,1970-01-01,New year
GB,1970-03-27,Good Friday
GB,1970-03-29,Easter Sunday
GB,1970-03-30,Easter Monday
GB,1970-05-04,Early May Bank Holiday
GB,1970-05-25,Spring Bank Holiday
GB,1970-08-31,Late Summer Bank Holiday
GB,1970-12-25,Christmas Day
GB,1970-12-26,Boxing Day
GB,1970-12-28,Boxing Day Shift
GB,1971-01-01,New year
GB,1971-04-09,Good Friday
GB,1971-04-11,Easter Sunday
GB,1971-04-12,Easter Monday
GB,1971-05-03,Early May Bank Holiday
GB,1971-05-31,Spring Bank Holiday
GB,1971-08-30,Late Summer Bank Holiday
GB,1971-12-25,Christmas Day
GB,1971-12-26,Boxing Day
GB,1971-12-27,Christmas Shift
GB,1971-12-28,Boxing Day Shift
GB,1972-01-01,New year
GB,1972-01-03,New Year shift
GB,1972-03-31,Good Friday
GB,1972-04-02,Easter Sunday
GB,1972-04-03,Easter Monday
GB,1972-05-01,Early May Bank Holiday
GB,1972-05-29,Spring Bank Holiday
GB,1972-08-28,Late Summer Bank Holiday
GB,1972-12-25,Christmas Day
GB,1972-12-26,Boxing Day
GB,1973-01-01,New year
GB,1973-04-20,Good Friday
GB,1973-04-22,Easter Sunday
GB,1973-04-23,Easter Monday
GB,1973-05-07,Early May Bank Holiday
GB,1973-05-28,Spring Bank Holiday
GB,1973-08-27,Late Summer Bank Holiday
GB,1973-11-14,Royal wedding
GB,1973-12-25,Christmas Day
GB,1973-12-26,Boxing Day
GB,1974-01-01,New year
GB,1974-04-12,Good Friday
GB,1974-04-14,Easter Sunday
GB,1974-04-15,Easter Monday
GB,1974-05-06,Early May Bank Holiday
GB,1974-05-27,Spring Bank Holiday
GB,1974-08-26,Late Summer Bank Holiday
GB,1974-12-25,Christmas Day
GB,1974-12-26,Boxing Day
GB,1975-01-01,New year
GB,1975-03-28,Good Friday
GB,1975-03-30,Easter Sunday
GB,1975-03-31,Easter Monday
GB,1975-05-05,Early May Bank Holiday
GB,1975-05-26,Spring Bank Holiday
GB,1975-08-25,Late Summer Bank Holiday
GB,1975-12-25,Christmas Day
GB,1975-12-26,Boxing Day
GB,1976-01-01,New year
GB,1976-04-16,Good Friday
GB,1976-04-18,Easter Sunday
GB,1976-04-19,Easter Monday
GB,1976-05-03,Early May Bank Holiday
GB,1976-05-31,Spring Bank Holiday
GB,1976-08-30,Late Summer Bank Holiday
GB,1976-12-25,Christmas Day
GB,1976-12-26,Boxing Day
GB,1976-12-27,Christmas Shift
GB,1976-12-28,Boxing Day Shift
GB,1977-01-01,New year
GB,1977-01-03,New Year shift
